period,index_orig,Datetime,G_Gh,HT,MT,CT,Tamb,Power,gas_price,electricity_price,dh_price,Dampfleistung in MW
9,6086,2019-03-05 09:30:00,40,1078.763496662541,729.483893376,203.721960862478,1.33160033333333,592,20.46,111.99406692986678,80.0,2.135888417
9,6087,2019-03-05 09:45:00,83,973.1046136799121,772.3859808,186.726612838109,1.4917154,632,20.46,110.92161442934388,80.0,1.91812477
9,6088,2019-03-05 10:00:00,80,863.7505094112927,759.6546227424,168.956137939294,1.63321446666667,640,20.46,109.80239123054847,80.0,2.321256036
9,6089,2019-03-05 10:15:00,61,859.2444208222802,785.7404239776,156.20521384875,1.69106026666667,608,20.46,108.64119029251323,80.0,2.236966669
9,6090,2019-03-05 10:30:00,51,809.3725920927835,756.9513395136,153.5241761446,1.73885226666667,576,20.46,107.44298433965157,80.0,1.882209115
9,6091,2019-03-05 10:45:00,110,800.4920610624,738.817181424,176.06857932806,1.78664426666667,640,20.46,106.21290456657324,80.0,1.377799526
9,6092,2019-03-05 11:00:00,110,768.919838064,750.1390130304,192.62636581262,1.90976686666667,632,20.46,104.95621866426751,80.0,1.072910601
9,6093,2019-03-05 11:15:00,81,777.8748857376,767.6424594048,188.6902572155,2.3535416,640,20.46,103.67830826175454,80.0,1.849492013
9,6094,2019-03-05 11:30:00,82,807.5339936832,784.6099088352,172.496830968062,2.37308146666667,640,20.46,102.38464587980877,80.0,1.535658555
9,6095,2019-03-05 11:45:00,77,799.8668031648,749.4334977696,145.719816052914,2.205696,544,20.46,101.08077149544773,80.0,1.567195345
9,6096,2019-03-05 12:00:00,99,807.4398872064,696.855440064,140.209271244208,2.0410884,504,20.46,99.7722688175462,80.0,1.90803767
9,6097,2019-03-05 12:15:00,106,898.8839489952,688.8153754944,152.155583949884,1.987016,504,20.46,98.46474137517333,80.0,1.969152965
9,6098,2019-03-05 12:30:00,103,820.2484257408,725.5203887232,152.781944564978,1.98996986666667,496,20.46,97.16378852105171,80.0,1.972369255
9,6099,2019-03-05 12:45:00,85,1026.207415801681,708.814362144,162.7398797671,1.99292373333333,576,20.46,95.87498145290131,80.0,2.033218507
9,6100,2019-03-05 13:00:00,86,1212.972083852716,780.8187556512,167.554251623154,1.9931232,584,20.46,94.6038393553542,80.0,1.692747655
9,6101,2019-03-05 13:15:00,75,1116.002028534469,770.74540872,167.237797355652,1.8797036,552,20.46,93.35580576461012,80.0,2.032129352
9,6102,2019-03-05 13:30:00,69,1082.824610486416,720.1683771072,160.038466874758,1.7070646,608,20.46,92.13622525704874,80.0,2.062857007
9,6103,2019-03-05 13:45:00,107,1018.8566103519277,650.8046437536,155.479390529792,1.54138566666667,608,20.46,90.9503205616271,80.0,1.600819705
9,6104,2019-03-05 14:00:00,134,907.7832050272622,649.6130179392,164.426416007678,1.52226453333333,592,20.46,89.80317019407642,80.0,1.938443529
9,6105,2019-03-05 14:15:00,86,935.474313312,726.0664016928,171.560334380468,1.56180126666667,536,20.46,88.69968670867709,80.0,2.317758001
9,6106,2019-03-05 14:30:00,57,997.0039209984,647.3174398656,196.120266632239,1.601338,560,20.46,87.64459566074683,80.0,2.176035839
9,6107,2019-03-05 14:45:00,47,937.7897671968,703.216012128,219.372545913855,1.6351194,616,20.46,86.6424153699326,80.0,1.868123801
9,6108,2019-03-05 15:00:00,51,932.140641264,568.7458021056,208.962077168624,1.54486206666667,600,20.46,85.69743757096826,80.0,1.086496926
9,6109,2019-03-05 15:15:00,57,1178.710337263956,677.1709270368,182.669621821245,1.4044506,624,20.46,84.81370903475894,80.0,1.544305879
9,6110,2019-03-05 15:30:00,57,1251.316914646454,757.271500272,174.935710100333,1.2640392,592,20.46,83.99501423849792,80.0,1.804728328
9,6111,2019-03-05 15:45:00,45,1191.659711209543,859.1348493504,185.371613367399,1.13356026666667,520,20.46,83.24485915902964,80.0,1.318766515
9,6112,2019-03-05 16:00:00,37,1078.5454306432375,890.4582966048,211.878299129009,1.1204858,512,20.46,82.56645625886252,80.0,1.222136609
9,6113,2019-03-05 16:15:00,31,1008.4563025824,900.5944082688,241.080764277776,1.1412818,512,20.46,81.96271072912404,80.0,1.934070329
9,6114,2019-03-05 16:30:00,18,1022.6277101376,856.299380832,241.196028888226,1.1620778,472,20.46,81.43620804838005,80.0,1.072347847
9,6115,2019-03-05 16:45:00,16,919.3546596192,846.2882944992,221.977729328473,1.17575633333333,496,20.46,80.98920291058445,80.0,1.166854827
9,6116,2019-03-05 17:00:00,6,978.2200274112,803.9654887488,191.138474138578,1.10416633333333,440,20.46,80.62360956958328,80.0,1.292650035
9,6117,2019-03-05 17:15:00,2,920.697696576,853.3138385856,183.993190244834,1.00773613333333,400,20.46,80.34099364151808,80.0,1.158988529
9,6118,2019-03-05 17:30:00,0,942.2144527488,893.6807424384,194.614581771692,0.911305933333333,360,20.46,80.14256540023472,80.0,1.196329637
9,6119,2019-03-05 17:45:00,0,979.850473056,913.2335618112,199.860709619522,0.822122666666667,376,20.46,80.02917459440926,80.0,1.426459255
9,6120,2019-03-05 18:00:00,0,1095.2896803072,895.1700783648,193.282901263237,0.821127266666667,392,20.46,80.00130680858604,80.0,1.541227312
9,6121,2019-03-05 18:15:00,0,1176.519656256,1069.1515157568,167.00630090634,0.846107933333333,352,20.46,80.05908138371149,80.0,1.453913054
9,6122,2019-03-05 18:30:00,0,1144.310540688,1001.5389536544,151.430763602257,0.871088533333333,344,20.46,80.20225090606863,80.0,1.216552953
9,6123,2019-03-05 18:45:00,0,1132.5180287904,964.914449856,154.312942934036,0.8901026,336,20.46,80.43020226680116,80.0,1.927138868
9,6124,2019-03-05 19:00:00,0,1098.4453887456,975.5709469632,166.537827833494,0.8353382,320,20.46,80.74195928748941,80.0,1.415584373
9,6125,2019-03-05 19:15:00,0,1180.2769449408,1105.9788461568,182.734136970838,0.758601466666667,360,20.46,81.13618690053481,80.0,1.236976293
9,6126,2019-03-05 19:30:00,0,1144.4993223552,1116.0350462688,170.329630096753,0.681864666666667,360,20.46,81.61119686645044,80.0,1.833138266
9,6127,2019-03-05 19:45:00,0,1143.2787025632,1038.4992838752,159.586431062222,0.607679533333333,336,20.46,82.16495500357424,80.0,1.198508222
9,6128,2019-03-05 20:00:00,0,1132.6980714336,1104.3426467136,172.434915280342,0.565574533333333,304,20.46,82.79508989924419,80.0,1.24095005
9,6129,2019-03-05 20:15:00,0,1145.7080887392,972.0114477024,186.278730722268,0.53313,304,20.46,83.49890306513086,80.0,1.264926351
9,6130,2019-03-05 20:30:00,0,1128.2834394048,953.3341785408,218.201563704014,0.5006856,336,20.46,84.273380493238,80.0,1.543093492
9,6131,2019-03-05 20:45:00,0,1146.0594579168,994.4239507104,231.831228172779,0.470617333333333,376,20.46,85.11520556308395,80.0,1.034661128
9,6132,2019-03-05 21:00:00,0,1128.548903664,1117.44795792,216.839585045973,0.470919,384,20.46,86.02077324479018,80.0,1.419939721
9,6133,2019-03-05 21:15:00,0,1191.7329346272,1065.7226310528,205.144746347268,0.4804648,408,20.46,86.98620553725341,80.0,1.291538004
9,6134,2019-03-05 21:30:00,0,1150.9011751104,1116.229035936,192.368149475257,0.4900108,360,20.46,88.00736807528932,80.0,1.717344241
9,6135,2019-03-05 21:45:00,0,1087.4595085536,1028.5592638272,182.933017361164,0.497253333333333,344,20.46,89.07988783462913,80.0,1.072735415
9,6136,2019-03-05 22:00:00,0,1104.2321829504,1079.1253857216,189.5523640275,0.474544533333333,344,20.46,90.19917185894941,80.0,1.180598427
9,6137,2019-03-05 22:15:00,0,1115.5447172352,1138.8646017504,199.78702832063,0.442618733333333,352,20.46,91.3604269287384,80.0,1.762509931
9,6138,2019-03-05 22:30:00,0,1139.3036361504,1164.9032185056,214.848259325822,0.410693,344,20.46,92.55868008776899,80.0,1.408133044
9,6139,2019-03-05 22:45:00,0,1122.1391930784,1175.0716843488,243.176008121173,0.390508866666667,368,20.46,93.78879993927582,80.0,1.184308256
9,6140,2019-03-05 23:00:00,0,1124.4067687776,1133.2765677408,264.959135341644,0.525725266666667,376,20.46,95.04551862063786,80.0,0.910830503
9,6141,2019-03-05 23:15:00,0,1086.9973735488,1148.7593059488,246.170952979724,0.7092874,400,20.46,96.32345436246197,80.0,0.817445084
9,6142,2019-03-05 23:30:00,0,1121.214404352,1098.685544208,223.335393893719,0.8758922,432,20.46,97.61713453546069,80.0,1.056990775
9,6143,2019-03-05 23:45:00,0,978.70730664,1000.9651716288,196.477560722828,0.9665512,376,20.46,98.92101908642815,80.0,1.709956072
9,6144,2019-03-06 00:00:00,0,998.547620112,967.0644226656,163.741984180609,1.0481156,336,20.46,100.22952426295211,80.0,0.912953745
9,6145,2019-03-06 00:15:00,0,994.31776584,1096.5785561472,169.033802739779,1.12968006666667,352,20.46,101.53704652526332,80.0,1.184199936
9,6146,2019-03-06 00:30:00,0,1042.1501439552,1072.41172584,174.129739761353,1.21124446666667,352,20.46,102.83798654282226,80.0,1.817947726
9,6147,2019-03-06 00:45:00,0,1011.1649833824,910.4363095968,169.922098561128,1.28678133333333,336,20.46,104.12677317288026,80.0,1.241705672
9,6148,2019-03-06 01:00:00,0,1059.7016205888,1014.1226586624,174.636471629143,1.308748,344,20.46,105.39788731832927,80.0,1.341578389
9,6149,2019-03-06 01:15:00,0,1052.454503184,1045.7079954048,179.214343706767,1.3180888,312,20.46,106.64588556267155,80.0,0.75954672
9,6150,2019-03-06 01:30:00,0,939.0192364224,965.176006032,185.112120286624,1.32742973333333,328,20.46,107.86542348089482,80.0,0.772860074
9,6151,2019-03-06 01:45:00,0,860.568909648,894.4101853344,188.545117783546,1.34329586666667,376,20.46,109.0512785264265,80.0,1.243476235
9,6152,2019-03-06 02:00:00,0,947.4622606176,987.5024124672,190.840435965856,1.41795233333333,352,20.46,110.19837239615595,80.0,1.157865274
9,6153,2019-03-06 02:15:00,0,890.1237534336,867.8846622432,181.208662211895,1.50661846666667,320,20.46,111.30179277774891,80.0,1.272981164
